1,"Toy Story (1995)","1995-11-19","John Lasseter","Tim Allen, Tom Hanks, Don Rickles, Jim Varney, John Ratzenberger, Wallace Shawn, Laurie Metcalf, John Morris, R. Lee Ermey, Annie Potts"
2,"Jumanji (1995)","1995-12-15","Joe Johnston","Jonathan Hyde, Bradley Pierce, Robin Williams, Kirsten Dunst"
6,"Heat (1995)","1995-01-01","Michael Mann","Robert De Niro, Al Pacino, Val Kilmer, Jon Voight, Tom Sizemore, Ashley Judd, Diane Venora, Natalie Portman"
10,"GoldenEye (1995)","1995-11-17","Martin Campbell","Pierce Brosnan, Sean Bean, Famke Janssen, Izabella Scorupco, Joe Don Baker, Judi Dench, Robbie Coltrane, Alan Cumming, Tchéky Karyo, Desmond Llewelyn, Samantha Bond"
16,"Casino (1995)","1995-11-14","Martin Scorsese","Robert De Niro, Joe Pesci, James Woods, Sharon Stone"
17,"Sense and Sensibility (1995)","1995-12-13","Ang Lee","Hugh Grant, Alan Rickman, Emma Thompson, Kate Winslet"
19,"Ace Ventura: When Nature Calls (1995)","1995-01-01","Steve Oedekerk","Simon Callow, Jim Carrey, Maynard Eziashi, Ian McNeice, Bob Gunton"
25,"Leaving Las Vegas (1995)","1995-10-27","Mike Figgis","Nicolas Cage, Elisabeth Shue, Richard Lewis, Julian Sands"
31,"Dangerous Minds (1995)","1995-01-01","John N. Smith","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde, John Neville, Lorraine Toussaint, Renoly Santiago, Wade Dominguez, Bruklin Harris, Marcello Thedford, Paula Garcés, Ivan Sergei, Camille Winbush, "
32,"Twelve Monkeys (a.k.a. 12 Monkeys) (1995)","1995-12-29","Terry Gilliam","Bruce Willis, Jon Seda, Simon Jones, Madeleine Stowe, Brad Pitt, Frederick Strother, Frank Gorshin, Aaron Michael Lacey, David Morse, Lisa Gay Hamilton, Matt Ross, Christopher Plummer, Christopher Meloni"
34,"Babe (1995)","1995-08-04","Chris Noonan","Danny Mann, Hugo Weaving, Christine Cavanaugh, Miriam Margolyes, James Cromwell, Magda Szubanski"
39,"Clueless (1995)","1995-07-19","Amy Heckerling","Alicia Silverstone, Paul Rudd, Stacey Dash, Brittany Murphy, Donald Faison, Elisa Donovan, Breckin Meyer"
44,"Mortal Kombat (1995)","1995-01-01","Paul W.S. Anderson","Linden Ashby, Christopher Lambert, Robin Shou, Talisa Soto, Cary-Hiroyuki Tagawa, Bridgette Wilson, Trevor Goddard"
47,"Seven (a.k.a. Se7en) (1995)","1995-09-22","David Fincher","Brad Pitt, Morgan Freeman, Gwyneth Paltrow, John C. McGinley, Kevin Spacey"
